청년센터,위도,경도
서초 청년센터,37.4846717,127.031376
서울청년센터 마포,37.5495927,126.9121968
서울청년센터 은평,37.6107442,126.9282959
서울청년센터 금천,37.4761935,126.8837069
용산 청년지음,37.5262208,126.9665712
서울청년센터 양천,37.5246163,126.8773542
서울청년센터 동대문,37.5806183,127.046514
서울청년센터 관악,37.4702988,126.9390781
서울청년센터 강동,37.5360968,127.1229817
서울청년센터 광진,37.5521755,127.076537
서울청년센터 노원,37.6538133,127.0602162
서울청년센터 성동,37.5637041,127.0313151
서울청년센터 서초오랑,37.5028159,127.004165
노량진청년일자리센터,37.5130951,126.9469753
충무창업큐브,37.5628022,127.0008658
노원구 청년일자리센터 청년내일,37.6538195,127.0602181
청년공간 동선이음,37.5972878,127.0150906
강북창업지원센터,37.6473683,127.017318
서울숲청년일자리카페,37.5433933,127.0438503
마포청년나루,37.5487888,126.9105061
청년재단,37.5693468,126.9812758
청년활동공간 청춘삘딩,37.4721278,126.8992715
구로 청년공간 청년이룸,37.4850736,126.840177
삼양청년회관,37.6248432,127.0175014
서울창업허브 공덕,37.5467447,126.949975
문정비즈밸리 일자리허브센터,37.4845621,127.1209116
LH남부권주거복지지사,37.5056221,127.0488953
메이커스원,37.6299571,127.0555019
신월종합사회복지관 청년마당,37.6053667,127.0911425
창업디딤누리,37.5351903,126.8785906
서울시청년일자리센터,37.5670417,126.9869696
강남 1인가구 커뮤니티 센터 STAY.G,37.4964913,127.031845
중랑여성인력개발센터,37.5929469,127.0764456
종로여성인력개발센터 청년일자리카페,37.5820241,127.0004101
